category,disease,url
感染科,檢出多重抗藥性菌種病人之照護注意事項及隔離防護措施,http://www.chimei.org.tw/main/cmh_department/59012/info/7302/A7302201.html
感染科,洗手步驟,http://www.chimei.org.tw/main/cmh_department/59012/info/7302/77302004.html
感染科,洗手步驟（簡體中文）,http://www.chimei.org.tw/main/cmh_department/59012/info/7302/77302015.html
感染科,導尿管照護,http://www.chimei.org.tw/main/cmh_department/59012/info/7302/77302005.html
感染科,導尿管照護（簡體中文）,http://www.chimei.org.tw/main/cmh_department/59012/info/7302/77302016.html
感染科,認識愛滋病,http://www.chimei.org.tw/main/cmh_department/59012/info/7302/A7302209.html
心臟科,冠狀動脈疾病衛教手冊,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320002.html
心臟科,高血壓手冊,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/57320108.html
心臟科,心臟衰竭疾病衛教手冊,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320004.html
心臟科,認識心臟衰竭及居家注意事項,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320005.html
心臟科,裝置心臟節律器病人居家注意事項,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320101.html
心臟科,冠狀動脈心臟病,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320102.html
心臟科,心臟電氣檢查及燒灼術後注意事項,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320103.html
心臟科,冠狀動脈心臟病與心導管檢查及治療後居家注意事項,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320105.html
心臟科,高血壓居家照護,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320106.html
心臟科,認識心導管檢查,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320107.html
心臟科,電極導管灼燒切割術,http://www.chimei.org.tw/main/cmh_department/59012/info/7320/A7320110.html
神經內科,腦中風護理指導,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/77330003.html
神經內科,偏頭痛衛教單張,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330004.html
神經內科,妊娠與癲癇須知,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330101.html
神經內科,顏面神經麻痺,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330102.html
神經內科,鼻胃管餵食之認識,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330104.html
神經內科,腦中風病人居家注意事項,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330105.html
神經內科,認識癲癇,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330106.html
神經內科,失智症（俗稱：癡呆症）,http://www.chimei.org.tw/main/cmh_department/59012/info/7330/A7330107.html
腎臟內科,血液透析病人居家照護手冊,http://www.chimei.org.tw/main/cmh_department/59012/info/7340/57340001.html
腎臟內科,血液透析室 預防跌倒,http://www.chimei.org.tw/main/cmh_department/59012/info/7340/57340002.html
腎臟內科,血液透析室 雙腔導管護理,http://www.chimei.org.tw/main/cmh_department/59012/info/7340/57340003.html
腎臟內科,血液透析室 動靜脈瘻管經皮血管擴張術,http://www.chimei.org.tw/main/cmh_department/59012/info/7340/57340004.html
