category,disease,url
心臟科,二尖瓣脫垂,https://kb.commonhealth.com.tw/library/5.html
心臟科,冠狀動脈心臟病,https://kb.commonhealth.com.tw/library/7.html
心臟科,心房顫動,https://kb.commonhealth.com.tw/library/21.html
心臟科,心肌梗塞,https://kb.commonhealth.com.tw/library/22.html
心臟科,心血管疾病,https://kb.commonhealth.com.tw/library/24.html
心臟科,急性白血病,https://kb.commonhealth.com.tw/library/25.html
心臟科,白血病,https://kb.commonhealth.com.tw/library/29.html
心臟科,非何杰金氏淋巴瘤,https://kb.commonhealth.com.tw/library/45.html
肝膽腸胃科,B型肝炎,https://kb.commonhealth.com.tw/library/1.html
肝膽腸胃科,C型肝炎,https://kb.commonhealth.com.tw/library/2.html
肝膽腸胃科,猛爆性肝炎,https://kb.commonhealth.com.tw/library/28.html
肝膽腸胃科,肝囊腫,https://kb.commonhealth.com.tw/library/32.html
肝膽腸胃科,肝癌,https://kb.commonhealth.com.tw/library/33.html
肝膽腸胃科,肝硬化,https://kb.commonhealth.com.tw/library/34.html
肝膽腸胃科,肝細胞癌,https://kb.commonhealth.com.tw/library/35.html
肝膽腸胃科,肝血管瘤,https://kb.commonhealth.com.tw/library/71.html
肝膽腸胃科,黃疸,https://kb.commonhealth.com.tw/library/93.html
肝膽腸胃科,肝衰竭,https://kb.commonhealth.com.tw/library/99.html
肝膽腸胃科,小細胞肺癌,https://kb.commonhealth.com.tw/library/17.html
肝膽腸胃科,氣喘,https://kb.commonhealth.com.tw/library/27.html
肝膽腸胃科,肋膜積水,https://kb.commonhealth.com.tw/library/31.html
肝膽腸胃科,肺炎,https://kb.commonhealth.com.tw/library/36.html
肝膽腸胃科,肺癌,https://kb.commonhealth.com.tw/library/37.html
肝膽腸胃科,鱗狀上皮細胞肺癌,https://kb.commonhealth.com.tw/library/49.html
肝膽腸胃科,咳嗽：急性咳嗽,https://kb.commonhealth.com.tw/library/60.html
肝膽腸胃科,流行性感冒,https://kb.commonhealth.com.tw/library/68.html
肝膽腸胃科,肺纖維化,https://kb.commonhealth.com.tw/library/74.html
肝膽腸胃科,肺水腫,https://kb.commonhealth.com.tw/library/82.html
肝膽腸胃科,大腸憩室炎,https://kb.commonhealth.com.tw/library/12.html
肝膽腸胃科,大腸激躁症,https://kb.commonhealth.com.tw/library/13.html
肝膽腸胃科,大腸癌,https://kb.commonhealth.com.tw/library/14.html
肝膽腸胃科,胃癌,https://kb.commonhealth.com.tw/library/39.html
肝膽腸胃科,胰臟癌,https://kb.commonhealth.com.tw/library/41.html
肝膽腸胃科,腸阻塞,https://kb.commonhealth.com.tw/library/43.html
肝膽腸胃科,食道癌,https://kb.commonhealth.com.tw/library/46.html
肝膽腸胃科,幽門螺旋桿菌感染,https://kb.commonhealth.com.tw/library/59.html
腎臟內科,多囊性腎病,https://kb.commonhealth.com.tw/library/11.html
腎臟內科,尿路結石,https://kb.commonhealth.com.tw/library/18.html
腎臟內科,急性腎損傷,https://kb.commonhealth.com.tw/library/61.html
腎臟內科,尿毒症,https://kb.commonhealth.com.tw/library/66.html
腎臟內科,泌尿道感染,https://kb.commonhealth.com.tw/library/67.html
腎臟內科,血尿,https://kb.commonhealth.com.tw/library/79.html
腎臟內科,痛風腎病變,https://kb.commonhealth.com.tw/library/109.html
腎臟內科,腎臟異位瘤,https://kb.commonhealth.com.tw/library/110.html
腎臟內科,腎囊腫,https://kb.commonhealth.com.tw/library/111.html
腎臟內科,腎臟癌,https://kb.commonhealth.com.tw/library/112.html
腎臟內科,間質性腎炎,https://kb.commonhealth.com.tw/library/115.html
腎臟內科,高血壓腎病變,https://kb.commonhealth.com.tw/library/117.html
婦產科,三陰性乳癌,https://kb.commonhealth.com.tw/library/3.html
婦產科,乳癌,https://kb.commonhealth.com.tw/library/4.html
婦產科,子宮內膜癌,https://kb.commonhealth.com.tw/library/15.html
婦產科,陰道分泌物變多,https://kb.commonhealth.com.tw/library/51.html
婦產科,卵巢囊腫,https://kb.commonhealth.com.tw/library/53.html
婦產科,卵巢癌,https://kb.commonhealth.com.tw/library/54.html
婦產科,多囊性卵巢症候群,https://kb.commonhealth.com.tw/library/55.html
婦產科,子宮內膜異位症,https://kb.commonhealth.com.tw/library/56.html
婦產科,子宮肌瘤,https://kb.commonhealth.com.tw/library/57.html
婦產科,菜花,https://kb.commonhealth.com.tw/library/58.html
婦產科,性早熟,https://kb.commonhealth.com.tw/library/62.html
骨科,半月板破裂,https://kb.commonhealth.com.tw/library/52.html
骨科,旋轉肌袖症候群,https://kb.commonhealth.com.tw/library/72.html
骨科,足底筋膜炎,https://kb.commonhealth.com.tw/library/80.html
骨科,落枕,https://kb.commonhealth.com.tw/library/113.html
骨科,手麻或腳麻,https://kb.commonhealth.com.tw/library/118.html
骨科,手抖或腳抖,https://kb.commonhealth.com.tw/library/119.html
骨科,類風濕性關節炎,https://kb.commonhealth.com.tw/library/120.html
骨科,頸椎退化性關節炎,https://kb.commonhealth.com.tw/library/121.html
骨科,肌筋膜疼痛症候群,https://kb.commonhealth.com.tw/library/122.html
骨科,骨質疏鬆症,https://kb.commonhealth.com.tw/library/123.html
骨科,鈣化性肌腱炎,https://kb.commonhealth.com.tw/library/124.html
骨科,脊椎壓迫性骨折,https://kb.commonhealth.com.tw/library/125.html
神經內科,出血性腦中風,https://kb.commonhealth.com.tw/library/8.html
神經內科,腦瘤,https://kb.commonhealth.com.tw/library/42.html
神經內科,脊髓小腦萎縮症,https://kb.commonhealth.com.tw/library/127.html
神經內科,缺血性腦中風,https://kb.commonhealth.com.tw/library/129.html
神經內科,記憶力變差,https://kb.commonhealth.com.tw/library/130.html
神經內科,昏倒,https://kb.commonhealth.com.tw/library/131.html
神經內科,非特異性頭暈,https://kb.commonhealth.com.tw/library/134.html
神經內科,動脈瘤,https://kb.commonhealth.com.tw/library/135.html
神經內科,腦動靜脈畸形,https://kb.commonhealth.com.tw/library/136.html
神經內科,暈眩,https://kb.commonhealth.com.tw/library/141.html
神經內科,顏面神經麻痺,https://kb.commonhealth.com.tw/library/143.html
牙科,口腔癌,https://kb.commonhealth.com.tw/library/10.html
牙科,嘴破,https://kb.commonhealth.com.tw/library/138.html
牙科,蛀牙,https://kb.commonhealth.com.tw/library/139.html
牙科,植體周圍炎,https://kb.commonhealth.com.tw/library/140.html
牙科,牙周炎,https://kb.commonhealth.com.tw/library/144.html
牙科,牙周病,https://kb.commonhealth.com.tw/library/145.html
牙科,牙髓炎,https://kb.commonhealth.com.tw/library/146.html
牙科,牙齦炎,https://kb.commonhealth.com.tw/library/147.html
牙科,牙齦紅腫,https://kb.commonhealth.com.tw/library/150.html
牙科,牙痛,https://kb.commonhealth.com.tw/library/151.html
牙科,敏感性牙齒,https://kb.commonhealth.com.tw/library/152.html
牙科,疱疹性齦口炎,https://kb.commonhealth.com.tw/library/171.html
眼科,眼中風,https://kb.commonhealth.com.tw/library/86.html
眼科,視網膜剝離,https://kb.commonhealth.com.tw/library/88.html
眼科,老花眼,https://kb.commonhealth.com.tw/library/91.html
眼科,假性近視,https://kb.commonhealth.com.tw/library/92.html
眼科,過敏性結膜炎,https://kb.commonhealth.com.tw/library/94.html
眼科,乾眼症,https://kb.commonhealth.com.tw/library/98.html
眼科,飛蚊症,https://kb.commonhealth.com.tw/library/100.html
