category,disease,url
心臟科,病毒性心肌炎,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1508
心臟科,嚴重心律不整  裝S-ICD免猝死風險,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1505
心臟科,致命的-腹主動脈瘤破裂,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1499
心臟科,請問醫師：心導管治療是不是一定要放支架？,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1498
心臟科,留意警訊，讓人好安心,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1426
心臟科,心悸,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1418
心臟科,認識肺動脈栓塞,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1334
心臟科,秋冬高血壓治療目標值的討論,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1333
心臟科,醫師，我有心臟病，請問可以運動嗎？,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1322
心臟科,冬季隱形殺手─心肌梗塞,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1238
心臟科,好無力~談心臟衰竭前兆與治療,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1225
心臟科,大家來做''好心人''~如何預防心臟病及心肌梗塞,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1193
心臟科,談心臟科常用的檢查,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1192
心臟科,心肌梗塞 -- 生命終結者 ?!,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1105
心臟科,老年人如何遠離心臟病,https://www.jah.org.tw/form/index-1.asp?m=3&m1=8&m2=362&gp=361&id=1091
