category,disease,url
耳鼻喉科,中秋節烤肉對鼻子過敏的影響,http://www.kenkon.com.tw/health.php?act=view&id=1223
耳鼻喉科,喉頭咽喉的胃酸逆流,http://www.kenkon.com.tw/health.php?act=view&id=1222
耳鼻喉科,如何避免搭飛機時的耳塞感,http://www.kenkon.com.tw/health.php?act=view&id=1221
耳鼻喉科,如何用簡單的方法，在搭飛機時避免耳塞感的發生,http://www.kenkon.com.tw/health.php?act=view&id=1218
耳鼻喉科,耳垢,http://www.kenkon.com.tw/health.php?act=view&id=1216
耳鼻喉科,眩暈及耳鳴的誘發原因,http://www.kenkon.com.tw/health.php?act=view&id=1215
耳鼻喉科,聲帶的訓練,http://www.kenkon.com.tw/health.php?act=view&id=1214
耳鼻喉科,久咳不癒,http://www.kenkon.com.tw/health.php?act=view&id=1213
耳鼻喉科,對氣壓特別敏感,http://www.kenkon.com.tw/health.php?act=view&id=1212
耳鼻喉科,偏頭痛與頭暈,http://www.kenkon.com.tw/health.php?act=view&id=1211
耳鼻喉科,喉嚨卡卡的,http://www.kenkon.com.tw/health.php?act=view&id=1210
耳鼻喉科,談耳石脫落症,http://www.kenkon.com.tw/health.php?act=view&id=1209
耳鼻喉科,耳石脫落症,http://www.kenkon.com.tw/health.php?act=view&id=1203
耳鼻喉科,不可思議的聽覺系統,http://www.kenkon.com.tw/health.php?act=view&id=1202
耳鼻喉科,耳咽管開放症(PatulousEustachiantube),http://www.kenkon.com.tw/health.php?act=view&id=1201
耳鼻喉科,氣壓改變所造成的眩暈,http://www.kenkon.com.tw/health.php?act=view&id=1199
耳鼻喉科,耳鳴的成因及治療,http://www.kenkon.com.tw/health.php?act=view&id=1198
耳鼻喉科,眩暈的成因,http://www.kenkon.com.tw/health.php?act=view&id=1197
耳鼻喉科,耳石脫落症,http://www.kenkon.com.tw/health.php?act=view&id=1196
耳鼻喉科,對於過敏性鼻炎的治療,http://www.kenkon.com.tw/health.php?act=view&id=1193
耳鼻喉科,顳頜關節症候群(temporomandibular-jointsyndrome),http://www.kenkon.com.tw/health.php?act=view&id=1120
耳鼻喉科,嗓子保養妙方20則,http://www.kenkon.com.tw/health.php?act=view&id=1192
耳鼻喉科,耳朵的構造,http://www.kenkon.com.tw/health.php?act=view&id=1191
耳鼻喉科,外耳疾病─耳垢、耳癢,http://www.kenkon.com.tw/health.php?act=view&id=1190
耳鼻喉科,外耳疾病─外耳炎、耳殼炎,http://www.kenkon.com.tw/health.php?act=view&id=1189
耳鼻喉科,急性中耳炎、慢性中耳炎,http://www.kenkon.com.tw/health.php?act=view&id=1188
耳鼻喉科,內耳的平衡系統,http://www.kenkon.com.tw/health.php?act=view&id=1187
耳鼻喉科,美尼爾氏症,http://www.kenkon.com.tw/health.php?act=view&id=1186
耳鼻喉科,前庭神經炎,http://www.kenkon.com.tw/health.php?act=view&id=1185
