category,disease,url
血液腫瘤科,便祕、腹瀉、血便是大腸癌？３症狀速就醫，早期存活率達９成！,https://gooddoctorweb.com/post/1292
血液腫瘤科,咳嗽超過２週小心肺癌！８種人沒抽菸也要注意６症狀。,https://gooddoctorweb.com/post/1257
血液腫瘤科,癌症飲食不能吃糖？專家指１例外，５妙招促進食慾助抗癌！,https://gooddoctorweb.com/post/1251
血液腫瘤科,喉嚨痛久當心食道癌！醫指２關鍵跡象，愛喝熱咖啡要小心。,https://gooddoctorweb.com/post/1245
血液腫瘤科,十大癌症最新統計！最新癌症人數增加逾五千人！務必定期做四篩檢,https://gooddoctorweb.com/post/1219
血液腫瘤科,胸部摸到硬塊是乳癌嗎？醫指常見症狀：盡早檢查但不必恐慌。,https://gooddoctorweb.com/post/1185
血液腫瘤科,女常腹脹、腹痛婦產科也要看！醫：慎防卵巢癌，６族群更要注意。,https://gooddoctorweb.com/post/1168
血液腫瘤科,沒抽菸也會得肺癌！醫指３大風險，油煙、精油等都要注意！,https://gooddoctorweb.com/post/1116
血液腫瘤科,手指不明黑點小心皮膚癌！醫指５徵兆惡性高盡早檢查。,https://gooddoctorweb.com/post/981
血液腫瘤科,胰臟癌難發現、進展快、高死亡！醫指癌王６特性：風險族群定期檢查！,https://gooddoctorweb.com/post/973
血液腫瘤科,沒抽菸也會得肺癌！遠離二手菸害，認識肺癌7警訊！顧肺4招不可少,https://gooddoctorweb.com/post/864
血液腫瘤科,29歲燒聲竟喉癌癌前病變　醫：燒聲、喉嚨痛兩週未好速就醫,https://gooddoctorweb.com/post/818
血液腫瘤科,3症狀當心胃癌前病變！吳文傑醫師：7危險因子要注意,https://gooddoctorweb.com/post/802
血液腫瘤科,前主播揪出０期肺腺癌！沒抽菸也會得，留意５不明顯症狀。,https://gooddoctorweb.com/post/696
血液腫瘤科,喉嚨痛是感染？胃病？癌症？醫：同處２周沒好盡早檢查！,https://gooddoctorweb.com/post/679
血液腫瘤科,婦自認健康卻驚見乳癌　乳房檢查6大風險族群更要做！,https://gooddoctorweb.com/post/678
血液腫瘤科,肚子痛竟是肝癌警訊？晚期肝癌難發現！醫師：高風險族群務必定期追蹤,https://gooddoctorweb.com/post/652
血液腫瘤科,口腔癌５成確診已晚期？醫：傷口２週不癒等症狀盡早就醫！,https://gooddoctorweb.com/post/627
血液腫瘤科,年輕乳癌增加！朱俐靜39歲確診　醫籲：30歲起定期篩檢可降4成死亡率,https://gooddoctorweb.com/post/589
血液腫瘤科,怕染疫不做篩檢？大腸癌無症狀　當心早期拖成晚期！,https://gooddoctorweb.com/post/585
血液腫瘤科,血尿不會痛要不要緊？醫：8成膀胱癌會出現，相關症狀速就醫！,https://gooddoctorweb.com/post/578
血液腫瘤科,腸癌居首、肺癌激增　十大癌症最新統計，專家：４篩檢做好做滿,https://gooddoctorweb.com/post/573
血液腫瘤科,胃癌日奪6.5條人命　吃不下消化不良是前兆！醫籲風險族群及早照胃鏡,https://gooddoctorweb.com/post/570
血液腫瘤科,大腸直腸癌地圖公佈：雲嘉南發生率和第四期最多！醫師點名5種錯誤飲食習慣,https://gooddoctorweb.com/post/563
血液腫瘤科,肝癌統計顯示南臺灣最多？醫勸：出現６症狀速就醫,https://gooddoctorweb.com/post/560
血液腫瘤科,罹癌是因為運氣不好？醫指３大原因，了解自己更有助防癌。,https://gooddoctorweb.com/post/553
血液腫瘤科,肺癌只能單用標靶或免疫？組合治療分進合擊　老翁7公分腫瘤消失,https://gooddoctorweb.com/post/545
血液腫瘤科,壓力大害乳癌淋巴轉移！原本最多剩2年合併療法幫她續命,https://gooddoctorweb.com/post/519
血液腫瘤科,血癌有得治？認識急性骨髓性白血病4警訊：疲倦、發燒、出血、骨頭疼痛,https://gooddoctorweb.com/post/517
血液腫瘤科,HER2陽性乳癌易轉移、復發？醫籲預防性治療、術後輔助治療很重要,https://gooddoctorweb.com/post/512
